timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1770546546.5802972,0.0,0.0,0.0,1.0,0.04266452330816209,0.09264803363917692,0.04947882732842151,0.0,0.0,9.641036624165263
1770546546.600927,0.0,0.0,0.0,1.0,-0.07770493725117127,0.06204003751602716,0.1170667514444753,0.0,0.0,9.911949693012728
1770546546.6215918,0.0,0.0,0.0,1.0,-0.08637511930854924,-0.20851321968591618,-0.08643821665509412,0.0,0.0,9.429962977362504
1770546546.6423323,0.0,0.0,0.0,1.0,-0.12154888068208358,-0.020189941745505716,-0.02227438620348032,0.0,0.0,10.298315558657857
1770546546.6628456,0.0,0.0,0.0,1.0,-0.010189137283308669,-0.07257541187284718,0.09688602965537957,0.0,0.0,9.63758596635037
1770546546.6830938,0.0,0.0,0.0,1.0,-0.1434727530272956,0.09982231259655548,-0.03739813394488318,0.0,0.0,9.769818036954796
1770546546.7041268,0.0,0.0,0.0,1.0,-0.048190399908942,-0.056168625838116215,0.22065862425409033,0.0,0.0,9.685575610191473
1770546546.7244642,0.0,0.0,0.0,1.0,-0.07027971533499755,-0.12086895952885135,0.02007522293884098,0.0,0.0,9.645530713256363
1770546546.7448955,0.0,0.0,0.0,1.0,0.006636300552976961,0.05890031813368396,0.011697298886647828,0.0,0.0,9.720827450138398
1770546546.7654119,0.0,0.0,0.0,1.0,0.06029567618264288,-0.04870505261518323,0.21321985126439957,0.0,0.0,10.00660467861891
1770546546.7859843,0.0,0.0,0.0,1.0,0.007531785307834842,0.023446142420488925,-0.019096486379510724,0.0,0.0,9.585522794151467
1770546546.8080332,0.0,0.0,0.0,1.0,0.15453652306273927,0.19122103610779995,-0.05912681150921215,0.0,0.0,9.836227343641818
1770546546.8284938,0.0,0.0,0.0,1.0,-0.008530183982515017,0.06784573059987663,-0.019575607468484094,0.0,0.0,9.496097462305357
1770546546.8487551,0.0,0.0,0.0,1.0,-0.05820447987523543,0.00346983628115659,-0.06572871341823498,0.0,0.0,10.715450961678968
1770546546.8691206,0.0,0.0,0.0,1.0,-0.11051013233586755,0.1014329803244457,-0.14509017310590866,0.0,0.0,9.801426685789334
1770546546.889785,0.0,0.0,0.0,1.0,-0.05781916124299385,-0.1539928266263368,-0.09012040208568556,0.0,0.0,10.415137561461343
1770546546.9106708,0.0,0.0,0.0,1.0,-0.04375054259500103,0.022819108521233998,-0.11247803379535093,0.0,0.0,10.314205912535055
