timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1770546541.851906,0.0,0.0,0.0,1.0,-0.05982011421431607,-0.1779849946233002,-0.13282782910528024,0.0,0.0,9.870184267621623
1770546541.8724058,0.0,0.0,0.0,1.0,-0.08184029599270318,-0.03908682655583517,-0.018123721166588527,0.0,0.0,10.612237026738478
1770546541.8955116,0.0,0.0,0.0,1.0,0.0070267239067207865,0.039153198358372346,-0.04676724175316582,0.0,0.0,9.869136024069041
1770546541.9166622,0.0,0.0,0.0,1.0,0.04543399932819631,-0.013227387360288384,0.02575725604286623,0.0,0.0,9.627056755316298
1770546541.937438,0.0,0.0,0.0,1.0,-0.06312302809971213,-0.10259056283962567,0.04649590975044848,0.0,0.0,10.209746199524677
1770546541.957783,0.0,0.0,0.0,1.0,-0.04566122731758963,-0.17995237397560293,-0.026177999378916007,0.0,0.0,9.28472768620692
1770546541.978319,0.0,0.0,0.0,1.0,0.20352665837139408,0.0839588661789509,0.09555751013639488,0.0,0.0,9.216294773226704
1770546541.9995897,0.0,0.0,0.0,1.0,0.17213225118702286,-0.05530061135848422,0.028040912704397947,0.0,0.0,9.354619380574245
1770546542.0201273,0.0,0.0,0.0,1.0,-0.04193934027107172,-0.09686989182417731,0.1546454201078026,0.0,0.0,10.361335294214777
1770546542.0420544,0.0,0.0,0.0,1.0,0.09194510759224374,-0.03875498965935532,-0.08837883240723358,0.0,0.0,9.134489786370267
1770546542.0625315,0.0,0.0,0.0,1.0,0.011886550565573445,0.0068877088275007495,0.006772598316279016,0.0,0.0,10.03256567834836
1770546542.083279,0.0,0.0,0.0,1.0,-0.005834414179276282,0.14559419525234055,0.017535056349651905,0.0,0.0,9.98248157042828
1770546542.10373,0.0,0.0,0.0,1.0,-0.01734831757288679,0.023126205322789754,-0.06876071978988903,0.0,0.0,9.609029786364315
1770546542.1243348,0.0,0.0,0.0,1.0,0.031305149590004126,0.007463682026204653,-0.0398719500879763,0.0,0.0,9.19538608727609
1770546542.1455197,0.0,0.0,0.0,1.0,0.14411796603337204,0.12420502456949145,-0.030444319183157088,0.0,0.0,10.299429707475946
1770546542.1662462,0.0,0.0,0.0,1.0,0.10241966718028982,0.12008799182983837,0.02649615897126579,0.0,0.0,9.321119712475243
1770546542.1870155,0.0,0.0,0.0,1.0,0.12426503785197329,-0.05549914345563402,-0.185441553645058,0.0,0.0,8.828881048332818
1770546542.2077017,0.0,0.0,0.0,1.0,-0.03682775702738242,-0.09806533861168977,0.03792292232660148,0.0,0.0,9.728837913521705
1770546542.2281365,0.0,0.0,0.0,1.0,-0.014396357698688479,-0.0739509777774425,0.17122096845288207,0.0,0.0,9.598969288618221
1770546542.2487545,0.0,0.0,0.0,1.0,-0.057528045761730665,-0.22047220627318287,0.23479753064814035,0.0,0.0,9.074245194690274
1770546542.2698996,0.0,0.0,0.0,1.0,-0.1289533859361148,-0.06564003802203887,0.05104551918015038,0.0,0.0,10.413547773301412
