timestamp,experiment_phase,phase_progress,step,time,battery_level,motor_temperature
1770546544.4842956,turning_left,0.0,0,0.0,100.0,49.553538004965844
1770546544.5051374,turning_left,0.013333333333333334,1,0.02,99.9,48.42108322218672
1770546544.525795,turning_left,0.02666666666666667,2,0.04,99.8,44.82351263461617
1770546544.5463028,turning_left,0.04,3,0.06,99.7,49.42465112652197
1770546544.5668564,turning_left,0.05333333333333334,4,0.08,99.6,41.555089062242594
1770546544.58713,turning_left,0.06666666666666667,5,0.1,99.5,42.3418262476964
1770546544.6079733,turning_left,0.08,6,0.12,99.4,45.46128175382839
1770546544.62841,turning_left,0.09333333333333334,7,0.14,99.3,47.25274329150439
1770546544.6491663,turning_left,0.10666666666666667,8,0.16,99.2,42.99962039667871
1770546544.6698105,turning_left,0.12,9,0.18,99.1,44.37109864038753
1770546544.6904151,turning_left,0.13333333333333333,10,0.2,99.0,44.3637984063932
1770546544.7108936,turning_left,0.14666666666666667,11,0.22,98.9,45.349029286594984
1770546544.7319255,turning_left,0.16,12,0.24,98.8,42.82684116695715
1770546544.7527637,turning_left,0.17333333333333334,13,0.26,98.7,49.679364817991015
1770546544.7739155,turning_left,0.18666666666666668,14,0.28,98.6,42.92238160800029
1770546544.7944655,turning_left,0.2,15,0.3,98.5,47.350214368971265
1770546544.8147256,turning_left,0.21333333333333335,16,0.32,98.4,48.396471691222295
1770546544.8353772,turning_left,0.22666666666666666,17,0.34,98.3,41.86341007326593
1770546544.8562448,turning_left,0.24,18,0.36,98.2,49.71069313025417
1770546544.8769178,turning_left,0.25333333333333335,19,0.38,98.1,45.61193265994665
1770546544.8972714,turning_left,0.26666666666666666,20,0.4,98.0,40.8800633734825
1770546544.9179704,turning_left,0.28,21,0.42,97.9,47.02178063631387
1770546544.9387414,turning_left,0.29333333333333333,22,0.44,97.8,47.7768120187968
1770546544.9593875,turning_left,0.30666666666666664,23,0.46,97.7,45.493946870299894
1770546544.9804196,turning_left,0.32,24,0.48,97.6,46.413932028678886
1770546545.0007408,turning_left,0.3333333333333333,25,0.5,97.5,47.52518466694113
1770546545.0210166,turning_left,0.3466666666666667,26,0.52,97.4,46.292841701020976
