timestamp,step,simulation_time,battery_voltage,cpu_temperature,memory_usage,control_frequency,active_algorithm
1770546540.7843254,0,0.0,24.0,45.0,39.02945436262174,50.0,LQR_Controller
1770546540.805083,1,0.02,23.99,45.0314157198278,34.99603964383554,50.0,LQR_Controller
1770546540.8260252,2,0.04,23.98,45.062830199416766,39.10555023557232,50.0,LQR_Controller
1770546540.846421,3,0.06,23.97,45.09424219857704,39.80239001594957,50.0,LQR_Controller
1770546540.8668017,4,0.08,23.96,45.12565047721669,36.18389526496871,50.0,LQR_Controller
1770546540.887344,5,0.1,23.95,45.15705379539064,32.09999430068887,50.0,LQR_Controller
1770546540.907911,6,0.12,23.94,45.18845091334967,30.51722297167396,50.0,LQR_Controller
1770546540.928409,7,0.14,23.93,45.219840591589325,33.05373815930698,50.0,LQR_Controller
1770546540.9492493,8,0.16,23.92,45.25122159089885,30.554495166584466,50.0,LQR_Controller
1770546540.969919,9,0.18,23.91,45.282592672410125,30.612961624208108,50.0,LQR_Controller
1770546540.990316,10,0.2,23.9,45.31395259764657,30.882676070353135,50.0,LQR_Controller
1770546541.0118823,11,0.22,23.89,45.34530012857203,39.61377684215924,50.0,LQR_Controller
1770546541.0330703,12,0.24,23.88,45.37663402763966,31.192297877772337,50.0,LQR_Controller
1770546541.0536945,13,0.26,23.87,45.407953057840786,32.359368537913454,50.0,LQR_Controller
1770546541.074504,14,0.28,23.86,45.439255982753714,31.654146128476956,50.0,LQR_Controller
1770546541.0951426,15,0.3,23.85,45.47054156659257,36.39944107238813,50.0,LQR_Controller
1770546541.1158125,16,0.32,23.84,45.501808574256074,36.173528060453215,50.0,LQR_Controller
1770546541.136526,17,0.34,23.83,45.5330557713763,34.64155339778096,50.0,LQR_Controller
1770546541.1568632,18,0.36,23.82,45.56428192436741,38.3877771693038,50.0,LQR_Controller
1770546541.1775854,19,0.38,23.81,45.59548580047435,37.309318711036305,50.0,LQR_Controller
1770546541.1982977,20,0.4,23.8,45.62666616782152,39.89417175220916,50.0,LQR_Controller
1770546541.219265,21,0.42,23.79,45.657821795461416,36.5375322183256,50.0,LQR_Controller
1770546541.2399604,22,0.44,23.78,45.68895145342319,34.14340795515044,50.0,LQR_Controller
1770546541.2602644,23,0.46,23.77,45.72005391276126,30.336498271859544,50.0,LQR_Controller
1770546541.2810225,24,0.48,23.76,45.751127945603784,34.84001122673348,50.0,LQR_Controller
1770546541.3015618,25,0.5,23.75,45.78217232520115,35.578211295701905,50.0,LQR_Controller
1770546541.3221688,26,0.52,23.74,45.813185825974415,33.75527540726808,50.0,LQR_Controller
1770546541.3427024,27,0.54,23.73,45.84416722356367,34.05275666113354,50.0,LQR_Controller
1770546541.3630912,28,0.56,23.72,45.87511529487638,36.370609076286186,50.0,LQR_Controller
1770546541.3836887,29,0.58,23.71,45.90602881813569,37.209674308511914,50.0,LQR_Controller
1770546541.4040785,30,0.6,23.7,45.93690657292862,32.274893830688335,50.0,LQR_Controller
1770546541.4256403,31,0.62,23.69,45.9677473402543,38.82116643108936,50.0,LQR_Controller
1770546541.4466083,32,0.64,23.68,45.99854990257204,37.954177889900606,50.0,LQR_Controller
1770546541.4671683,33,0.66,23.67,46.029313043849406,38.15594223177402,50.0,LQR_Controller
1770546541.4877677,34,0.68,23.66,46.06003554961028,32.19032331043481,50.0,LQR_Controller
1770546541.5083463,35,0.7000000000000001,23.65,46.09071620698271,36.333303531597075,50.0,LQR_Controller
1770546541.5289836,36,0.72,23.64,46.1213538047469,36.28710414416386,50.0,LQR_Controller
1770546541.5496354,37,0.74,23.63,46.151947133382954,36.59969878000228,50.0,LQR_Controller
1770546541.5700483,38,0.76,23.62,46.18249498511862,38.42359400898707,50.0,LQR_Controller
1770546541.5907552,39,0.78,23.61,46.21299615397704,31.13736425186991,50.0,LQR_Controller
1770546541.6116247,40,0.8,23.6,46.243449435824274,31.638795887917986,50.0,LQR_Controller
1770546541.6321611,41,0.8200000000000001,23.59,46.27385362841691,33.16619990072351,50.0,LQR_Controller
1770546541.6524649,42,0.84,23.58,46.304207531449485,31.299765357141823,50.0,LQR_Controller
1770546541.6736867,43,0.86,23.57,46.33450994660188,37.370413133576484,50.0,LQR_Controller
1770546541.694136,44,0.88,23.56,46.364759677586626,33.6256533248939,50.0,LQR_Controller
1770546541.7148347,45,0.9,23.55,46.39495553019615,31.067655055101618,50.0,LQR_Controller
1770546541.7356308,46,0.92,23.54,46.42509631234988,30.778270970777424,50.0,LQR_Controller
1770546541.756426,47,0.9400000000000001,23.53,46.45518083414136,36.67403593161117,50.0,LQR_Controller
1770546541.777202,48,0.96,23.52,46.485207907885176,36.18431106435668,50.0,LQR_Controller
1770546541.7978022,49,0.98,23.51,46.51517634816387,39.13409778697381,50.0,LQR_Controller
